Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,26-Oct-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,55,125,"$68,750","$24,062.5",35.00%,Outlet
Foot Locker,1185732,27-Oct-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,45,225,"$1,01,250","$30,375",30.00%,Outlet
Foot Locker,1185732,28-Oct-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,45,475,"$2,13,750","$1,17,562.5",55.00%,Outlet
Foot Locker,1185732,29-Oct-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,45,125,"$56,250","$19,687.5",35.00%,Outlet
Foot Locker,1185732,30-Oct-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,35,175,"$61,250","$24,500",40.00%,Outlet
Foot Locker,1185732,31-Oct-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,40,50,"$20,000","$8,000",40.00%,Outlet
Foot Locker,1185732,01-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,55,125,"$68,750","$24,062.5",35.00%,Outlet
Foot Locker,1185732,02-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,45,225,"$1,01,250","$30,375",30.00%,Outlet
Foot Locker,1185732,03-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,50,445,"$2,22,500","$1,22,375",55.00%,Outlet
Foot Locker,1185732,04-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,50,150,"$75,000","$26,250",35.00%,Outlet
Foot Locker,1185732,05-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,40,175,"$70,000","$28,000",40.00%,Outlet
Foot Locker,1185732,06-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,45,25,"$11,250","$4,500",40.00%,Outlet
Foot Locker,1185732,07-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,60,75,"$45,000","$13,500",30.00%,Outlet
Foot Locker,1185732,08-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,50,175,"$87,500","$21,875",25.00%,Outlet
Foot Locker,1185732,09-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,50,450,"$2,25,000","$1,12,500",50.00%,Outlet
Foot Locker,1185732,10-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,50,150,"$75,000","$22,500",30.00%,Outlet
Foot Locker,1185732,11-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,40,150,"$60,000","$21,000",35.00%,Outlet
Foot Locker,1185732,12-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,45,75,"$33,750","$11,812.5",35.00%,Outlet
Foot Locker,1185732,13-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,60,75,"$45,000","$13,500",30.00%,Outlet
Foot Locker,1185732,14-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,50,200,"$1,00,000","$25,000",25.00%,Outlet
Foot Locker,1185732,15-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,60,470,"$2,82,000","$1,41,000",50.00%,Outlet
Foot Locker,1185732,16-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,60,175,"$1,05,000","$31,500",30.00%,Outlet
Foot Locker,1185732,17-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,55,150,"$82,500","$28,875",35.00%,Outlet
Foot Locker,1185732,18-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,55,100,"$55,000","$19,250",35.00%,Outlet
Foot Locker,1185732,19-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,65,125,"$81,250","$24,375",30.00%,Outlet
Foot Locker,1185732,20-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,70,250,"$1,75,000","$52,500",30.00%,Outlet
Foot Locker,1185732,21-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,65,500,"$3,25,000","$1,78,750",55.00%,Outlet
Foot Locker,1185732,22-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,60,250,"$1,50,000","$52,500",35.00%,Outlet
Foot Locker,1185732,23-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,55,175,"$96,250","$38,500",40.00%,Outlet
Foot Locker,1185732,24-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,55,150,"$82,500","$33,000",40.00%,Outlet
Foot Locker,1185732,25-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,65,150,"$97,500","$34,125",35.00%,Outlet
Foot Locker,1185732,26-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,70,300,"$2,10,000","$63,000",30.00%,Outlet
Foot Locker,1185732,27-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,65,500,"$3,25,000","$1,78,750",55.00%,Outlet
Foot Locker,1185732,28-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,60,300,"$1,80,000","$63,000",35.00%,Outlet
Foot Locker,1185732,29-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,55,225,"$1,23,750","$49,500",40.00%,Outlet
Foot Locker,1185732,30-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,55,175,"$96,250","$38,500",40.00%,Outlet
Foot Locker,1185732,01-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,65,200,"$1,30,000","$45,500",35.00%,Outlet
Foot Locker,1185732,02-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,70,375,"$2,62,500","$78,750",30.00%,Outlet
Foot Locker,1185732,03-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,65,525,"$3,41,250","$1,87,687.5",55.00%,Outlet
Foot Locker,1185732,04-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,60,300,"$1,80,000","$63,000",35.00%,Outlet
Foot Locker,1185732,05-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,55,225,"$1,23,750","$49,500",40.00%,Outlet
Foot Locker,1185732,06-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,55,200,"$1,10,000","$44,000",40.00%,Outlet
Foot Locker,1185732,07-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,65,175,"$1,13,750","$39,812.5",35.00%,Outlet
Foot Locker,1185732,08-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,70,350,"$2,45,000","$73,500",30.00%,Outlet
Foot Locker,1185732,09-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,65,475,"$3,08,750","$1,54,375",50.00%,Outlet
Foot Locker,1185732,10-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,50,275,"$1,37,500","$41,250",30.00%,Outlet
Foot Locker,1185732,11-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,45,200,"$90,000","$31,500",35.00%,Outlet
Foot Locker,1185732,12-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,45,175,"$78,750","$27,562.5",35.00%,Outlet
Foot Locker,1185732,13-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,55,125,"$68,750","$20,625",30.00%,Outlet
Foot Locker,1185732,14-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,60,225,"$1,35,000","$33,750",25.00%,Outlet
Foot Locker,1185732,15-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,60,400,"$2,40,000","$1,20,000",50.00%,Outlet
Foot Locker,1185732,16-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,50,225,"$1,12,500","$33,750",30.00%,Outlet
Foot Locker,1185732,17-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,50,125,"$62,500","$21,875",35.00%,Outlet
Foot Locker,1185732,18-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,50,100,"$50,000","$17,500",35.00%,Outlet
Foot Locker,1185732,19-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,60,100,"$60,000","$18,000",30.00%,Outlet
Foot Locker,1185732,20-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,65,225,"$1,46,250","$36,562.5",25.00%,Outlet
Foot Locker,1185732,21-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,70,375,"$2,62,500","$1,44,375",55.00%,Outlet
Foot Locker,1185732,22-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,60,200,"$1,20,000","$42,000",35.00%,Outlet
Foot Locker,1185732,23-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,60,195,"$1,17,000","$46,800",40.00%,Outlet
